Class,Year,Quarter,Total Score,Paper Count
SOCI,2021,3,3.9452,43
COMP,2021,3,2.1811,25
PHAR,2021,1,3.6484,30
CHEM,2021,3,15.4777,86
CHEM,2021,4,24.3452,121
MEDI,2021,2,24.8878,196
NURS,2021,2,1.6364,14
ENGI,2021,2,16.885,104
VETE,2021,2,1.3893,18
CENG,2021,4,12.2398,81
ARTS,2021,2,0.6449,9
HEAL,2021,4,1.2242,14
NEUR,2021,4,2.0485,14
MATE,2021,3,14.8759,74
SOCI,2021,2,3.3723,33
HEAL,2021,2,1.918,14
ENGI,2021,3,19.4448,96
MULT,2021,4,21.5547,143
DECI,2021,2,0.128,6
DENT,2021,2,1.0491,8
SOCI,2021,4,7.9437,61
PHYS,2021,2,31.046,89
NURS,2021,4,1.14,12
PSYC,2021,4,0.7457,4
ARTS,2021,3,0.6118,11
ENER,2021,3,10.9255,53
CHEM,2021,2,21.5382,85
SOCI,2021,1,7.1374,53
DECI,2021,4,0.6392,3
NEUR,2021,2,3.4973,18
BUSI,2021,3,1.4272,9
MATE,2021,4,12.3561,79
BUSI,2021,4,1.4856,15
MATH,2021,3,2.4992,15
MATH,2021,2,3.4855,27
IMMU,2021,3,6.9236,51
VETE,2021,1,0.4126,6
IMMU,2021,1,2.8494,22
EART,2021,1,5.3213,32
ENVI,2021,3,12.6935,55
MULT,2021,2,1.8415,19
MATH,2021,1,2.5717,16
ENER,2021,1,8.5706,41
PHYS,2021,4,32.9586,85
PHAR,2021,2,5.1634,32
BUSI,2021,1,1.1733,11
EART,2021,3,4.0391,24
AGRI,2021,2,7.7657,52
AGRI,2021,4,11.2723,76
ARTS,2021,4,0.3446,9
MULT,2021,1,5.4937,23
DENT,2021,1,1.1527,12
NEUR,2021,3,4.2495,21
CENG,2021,2,15.4819,68
COMP,2021,4,4.5386,41
MEDI,2021,3,24.0916,206
NURS,2021,3,1.7702,10
ENVI,2021,1,16.0373,66
IMMU,2021,4,10.3475,56
DECI,2021,1,0.1413,1
PHYS,2021,3,35.1535,64
PHAR,2021,3,8.2122,47
HEAL,2021,1,0.43,5
BIOC,2021,4,26.4157,115
ENGI,2021,4,17.4799,88
BUSI,2021,2,1.0977,9
MULT,2021,3,3.0409,36
CENG,2021,3,9.7394,68
ENVI,2021,4,17.3395,95
AGRI,2021,1,10.7815,65
NURS,2021,1,0.3909,5
HEAL,2021,3,0.6181,9
ENGI,2021,1,19.2948,83
BIOC,2021,3,14.5296,101
COMP,2021,1,3.6013,43
ENER,2021,2,13.9042,41
MATE,2021,1,13.7807,72
MEDI,2021,1,39.6801,201
PHYS,2021,1,34.6611,105
PSYC,2021,2,1.1765,5
COMP,2021,2,4.7477,69
BIOC,2021,2,9.9691,78
CHEM,2021,1,21.2069,110
VETE,2021,3,2.3215,30
ECON,2021,1,2.4359,15
CENG,2021,1,11.6221,69
ECON,2021,2,0.8404,11
EART,2021,4,4.8615,33
DENT,2021,3,1.7251,23
PHAR,2021,4,6.8974,44
PSYC,2021,1,2.754,10
BIOC,2021,1,21.9412,97
VETE,2021,4,1.9034,30
NEUR,2021,1,8.6539,24
ENVI,2021,2,14.8298,71
DENT,2021,4,2.1395,15
IMMU,2021,2,6.9147,43
MATH,2021,4,1.262,16
ENER,2021,4,11.1683,54
MEDI,2021,4,40.3682,292
ARTS,2021,1,1.022,12
ENVI,2023,4,3.3138,23
PHAR,2023,4,1.2782,8
ECON,2023,4,0.3516,3
AGRI,2023,2,9.3119,56
PSYC,2023,2,3.2161,9
MEDI,2023,3,18.0483,126
BUSI,2023,2,1.9973,11
PHYS,2023,1,18.05,53
PHAR,2023,1,8.4933,43
ARTS,2023,3,1.2848,9
IMMU,2023,2,7.5519,49
MEDI,2023,4,5.7378,53
HEAL,2023,2,0.4911,8
EART,2023,4,0.2349,2
AGRI,2023,3,8.4567,56
HEAL,2023,4,0.4958,7
PHAR,2023,3,3.0981,24
ENER,2023,1,12.9535,45
ECON,2023,1,2.4338,17
BUSI,2023,4,0.61,5
BUSI,2023,3,2.0125,12
MEDI,2023,2,28.1019,169
IMMU,2023,4,0.7464,4
ENGI,2023,1,24.0899,102
NURS,2023,2,1.7936,16
BIOC,2023,4,4.3335,22
CENG,2023,3,8.83,47
CHEM,2023,3,9.2232,57
NEUR,2023,2,3.613,14
CHEM,2023,1,38.868,120
EART,2023,2,4.3009,20
MATH,2023,1,4.0222,23
MULT,2023,1,4.1751,24
SOCI,2023,1,10.5154,54
ECON,2023,2,1.3196,8
ENGI,2023,3,18.1452,77
DECI,2023,2,0.4444,2
NURS,2023,4,0.2631,3
DENT,2023,3,1.3185,11
MATH,2023,3,1.2479,11
ENER,2023,2,9.3299,35
COMP,2023,3,3.4263,25
MEDI,2023,1,47.518,218
MATE,2023,3,10.3171,60
VETE,2023,2,1.9826,15
DECI,2023,3,0.1506,1
ARTS,2023,2,0.6495,8
PHYS,2023,3,26.404,48
AGRI,2023,1,19.0883,89
DECI,2023,1,0.6443,3
MULT,2023,2,3.6765,37
BIOC,2023,2,14.2768,86
PSYC,2023,3,0.6498,3
MATH,2023,4,0.3318,3
PSYC,2023,4,0.1163,2
DENT,2023,2,4.8201,22
IMMU,2023,1,18.8578,55
ENGI,2023,4,3.5368,22
EART,2023,1,2.4348,15
IMMU,2023,3,3.7949,27
HEAL,2023,3,1.5278,11
COMP,2023,2,5.6689,30
VETE,2023,1,1.8716,18
NEUR,2023,4,0.3391,2
AGRI,2023,4,3.4089,23
MATH,2023,2,2.7407,13
ENGI,2023,2,11.7819,63
ARTS,2023,1,0.6521,8
NURS,2023,3,0.7735,7
DENT,2023,1,3.61,21
SOCI,2023,3,5.4761,32
MATE,2023,1,22.2327,72
BIOC,2023,1,27.2112,113
ECON,2023,3,1.4283,10
ENVI,2023,2,11.712,58
NURS,2023,1,3.091,18
ENER,2023,4,1.8863,13
PHYS,2023,4,2.4011,15
NEUR,2023,3,2.5853,15
SOCI,2023,4,1.1071,8
CENG,2023,2,10.3109,58
HEAL,2023,1,1.3928,8
MATE,2023,2,9.3513,54
DENT,2023,4,2.109,20
MATE,2023,4,3.7524,21
CENG,2023,4,3.5386,20
PSYC,2023,1,1.9569,11
MULT,2023,4,13.5071,87
VETE,2023,4,0.4045,4
DECI,2023,4,0.3484,3
COMP,2023,1,10.2993,57
MULT,2023,3,4.1791,22
PHAR,2023,2,4.6047,32
CENG,2023,1,26.3286,85
PHYS,2023,2,13.2464,46
NEUR,2023,1,5.1317,15
ENER,2023,3,4.2027,28
CHEM,2023,2,14.0531,83
VETE,2023,3,0.9041,10
BUSI,2023,1,5.6257,16
EART,2023,3,2.7542,16
ENVI,2023,1,26.0373,80
CHEM,2023,4,4.0178,31
ENVI,2023,3,12.1659,61
COMP,2023,4,1.211,8
BIOC,2023,3,10.0627,63
SOCI,2023,2,4.8865,32
BUSI,2022,2,4.3313,17
BUSI,2022,4,3.9284,16
MATH,2022,2,4.3977,17
COMP,2022,2,10.5223,43
EART,2022,1,8.9906,23
ECON,2022,4,3.3603,14
PSYC,2022,1,4.3177,13
PHYS,2022,2,46.9506,78
EART,2022,4,5.0058,20
PSYC,2022,2,2.5913,8
DENT,2022,3,2.4832,16
PHAR,2022,2,13.8496,50
DENT,2022,1,2.8371,13
COMP,2022,1,11.558,35
DECI,2022,2,0.1027,1
ENER,2022,1,27.0945,50
ENVI,2022,2,20.7589,74
COMP,2022,4,13.0639,62
EART,2022,2,5.1816,19
PHYS,2022,4,31.1773,78
ARTS,2022,4,2.362,10
PHYS,2022,3,29.7063,57
ENER,2022,2,16.7337,47
DECI,2022,3,1.1138,4
VETE,2022,1,6.6535,32
PSYC,2022,3,2.3355,11
IMMU,2022,3,13.2935,56
BIOC,2022,1,38.3653,106
DENT,2022,2,3.3781,21
CENG,2022,1,30.2041,76
VETE,2022,4,6.662,38
IMMU,2022,2,12.6194,51
DECI,2022,4,1.461,7
AGRI,2022,4,23.6354,96
ENER,2022,4,16.0174,55
NURS,2022,1,3.7016,15
MATH,2022,3,5.9937,23
MATE,2022,2,19.8536,60
HEAL,2022,4,3.5165,16
MULT,2022,1,8.5627,35
ARTS,2022,2,0.871,7
PHYS,2022,1,38.9249,78
IMMU,2022,4,16.9617,65
MULT,2022,2,6.3407,29
ECON,2022,1,3.4774,11
HEAL,2022,3,1.2825,8
BUSI,2022,1,6.9979,20
CENG,2022,3,24.8516,84
PHAR,2022,3,9.8946,41
NEUR,2022,4,2.5964,12
MATE,2022,3,15.7934,54
SOCI,2022,4,15.9445,74
CENG,2022,2,23.0238,65
IMMU,2022,1,12.6946,57
NEUR,2022,2,9.1667,22
NEUR,2022,3,6.8311,21
SOCI,2022,2,10.0874,45
ENGI,2022,4,33.8606,120
NEUR,2022,1,7.6097,24
AGRI,2022,3,17.7787,80
CHEM,2022,1,31.4377,89
BUSI,2022,3,4.3495,11
CHEM,2022,4,27.6548,110
CHEM,2022,3,31.3725,118
ENVI,2022,1,38.7107,81
DENT,2022,4,4.2503,21
BIOC,2022,2,28.7012,99
MEDI,2022,3,47.9313,237
ENGI,2022,2,24.9436,75
CHEM,2022,2,31.3655,92
HEAL,2022,1,1.4355,10
ENGI,2022,1,35.4925,95
PSYC,2022,4,1.9704,9
CENG,2022,4,20.7359,74
NURS,2022,3,4.3074,25
NURS,2022,2,1.6298,9
EART,2022,3,7.8312,29
AGRI,2022,1,29.5053,97
MATH,2022,1,4.9277,15
BIOC,2022,3,27.5947,104
DECI,2022,1,1.123,4
PHAR,2022,1,12.6433,42
ENVI,2022,4,23.3228,75
NURS,2022,4,2.4686,14
ARTS,2022,3,1.1543,7
ENVI,2022,3,31.0764,96
ARTS,2022,1,2.2239,17
MATE,2022,4,21.8442,81
ECON,2022,3,2.0854,10
MEDI,2022,4,63.9762,311
MATH,2022,4,5.4391,24
HEAL,2022,2,1.5972,12
ENGI,2022,3,25.9465,90
MULT,2022,4,39.1528,158
MATE,2022,1,30.7599,88
MEDI,2022,1,66.7686,256
PHAR,2022,4,13.2429,56
COMP,2022,3,15.317,58
ENER,2022,3,21.4655,60
VETE,2022,2,3.7269,23
SOCI,2022,1,13.2775,54
MEDI,2022,2,45.0883,224
MULT,2022,3,9.65,29
ECON,2022,2,2.5188,15
AGRI,2022,2,19.4891,75
BIOC,2022,4,27.4779,119
SOCI,2022,3,13.008,51
VETE,2022,3,7.8081,38
BUSI,2019,3,0.9646,7
NEUR,2019,3,5.0895,20
ARTS,2019,1,0.2732,5
ECON,2019,3,0.4855,4
IMMU,2019,3,4.4476,31
MEDI,2019,4,24.2003,177
PSYC,2019,3,1.0778,3
AGRI,2019,4,7.2548,51
ENER,2019,4,6.6465,37
VETE,2019,2,0.8391,7
COMP,2019,1,4.4792,61
PHYS,2019,3,17.7534,71
MATE,2019,3,5.3469,45
PSYC,2019,4,0.4199,4
IMMU,2019,2,2.8486,22
COMP,2019,2,2.2629,40
HEAL,2019,2,0.5519,5
NURS,2019,2,0.4077,2
PHYS,2019,2,30.9749,85
ECON,2019,1,4.242,10
VETE,2019,4,0.7577,6
EART,2019,1,3.3514,21
NURS,2019,3,1.1253,8
CHEM,2019,2,8.4676,63
ARTS,2019,2,0.5767,6
BIOC,2019,4,12.7881,91
ENER,2019,3,5.4685,30
HEAL,2019,3,0.9458,8
ECON,2019,4,1.2422,12
ARTS,2019,4,0.7182,5
SOCI,2019,3,1.7824,14
MATE,2019,4,7.9937,57
COMP,2019,4,9.2125,93
NURS,2019,4,1.3114,9
PSYC,2019,2,0.1045,1
MULT,2019,2,1.5408,13
ECON,2019,2,0.7632,7
CENG,2019,2,4.7616,35
MEDI,2019,1,21.8126,165
HEAL,2019,4,0.5106,6
CENG,2019,4,8.1154,47
IMMU,2019,4,4.6985,38
ENVI,2019,1,8.4531,51
CHEM,2019,3,9.5033,54
MATH,2019,2,1.1107,8
CENG,2019,3,5.6778,33
DECI,2019,1,1.7744,7
PHAR,2019,4,3.9319,23
EART,2019,3,4.1624,26
ENER,2019,1,5.9189,34
MULT,2019,1,2.0884,13
DENT,2019,1,1.1227,9
DENT,2019,2,1.2778,9
ENVI,2019,4,9.5899,59
MULT,2019,3,1.382,10
BIOC,2019,3,10.4801,67
SOCI,2019,4,4.8391,36
NEUR,2019,4,2.5134,15
BUSI,2019,4,0.8896,9
MATH,2019,3,1.9639,16
PHAR,2019,3,4.2756,27
MULT,2019,4,7.8699,43
ENGI,2019,3,10.3205,84
AGRI,2019,1,7.5469,35
NEUR,2019,2,3.4714,15
DECI,2019,2,0.2175,7
MATE,2019,1,9.2637,54
ENGI,2019,2,10.9204,70
CENG,2019,1,8.7679,56
CHEM,2019,4,11.6732,72
PSYC,2019,1,0.4346,4
PHAR,2019,2,4.6801,31
BIOC,2019,1,10.3035,67
SOCI,2019,1,6.8211,38
AGRI,2019,2,4.8535,37
ENGI,2019,4,13.9625,103
DENT,2019,4,0.9746,7
ENVI,2019,2,3.8038,33
BUSI,2019,2,1.2307,9
CHEM,2019,1,17.4654,73
NURS,2019,1,1.9198,6
BIOC,2019,2,9.5664,64
HEAL,2019,1,0.9064,10
SOCI,2019,2,4.4672,24
MATH,2019,4,5.168,30
DECI,2019,4,0.8947,18
MEDI,2019,3,22.2066,138
DENT,2019,3,0.7094,8
EART,2019,4,3.5669,19
MEDI,2019,2,18.2327,140
EART,2019,2,2.1706,17
DECI,2019,3,2.2248,28
COMP,2019,3,4.8033,59
MATH,2019,1,2.3673,38
ENGI,2019,1,16.1029,101
VETE,2019,3,1.5294,12
ARTS,2019,3,0.2232,4
MATE,2019,2,6.4466,48
PHAR,2019,1,3.9312,24
AGRI,2019,3,4.6837,33
BUSI,2019,1,5.5014,19
IMMU,2019,1,4.7197,32
PHYS,2019,4,26.9418,88
NEUR,2019,1,3.4883,14
ENER,2019,2,4.0771,28
ENVI,2019,3,4.7167,32
PHYS,2019,1,35.1318,109
VETE,2019,1,0.9921,8
DENT,2018,1,7.3477,20
PHAR,2018,2,8.7584,26
PHYS,2018,4,52.2989,94
DECI,2018,2,1.2649,8
HEAL,2018,3,2.6789,6
MULT,2018,4,15.7874,43
EART,2018,3,9.332,22
SOCI,2018,2,6.2568,23
ENGI,2018,1,22.2553,77
BIOC,2018,1,22.0499,60
MATE,2018,1,20.9114,58
PHAR,2018,1,23.0823,36
ARTS,2018,3,2.0764,5
PHAR,2018,4,5.6128,19
NEUR,2018,1,15.4027,25
MATE,2018,2,17.2716,49
MATH,2018,1,1.2075,11
VETE,2018,4,2.8703,11
MATE,2018,3,13.3819,45
ENGI,2018,2,25.6939,71
MATH,2018,2,10.9245,14
MULT,2018,3,4.8057,16
ECON,2018,1,1.4117,4
MATE,2018,4,16.9185,45
DECI,2018,3,0.8167,7
DECI,2018,4,0.7297,5
COMP,2018,1,4.985,32
IMMU,2018,4,7.8114,27
PHYS,2018,3,52.0896,77
IMMU,2018,3,13.1976,36
COMP,2018,4,7.3899,32
AGRI,2018,4,16.9695,53
CHEM,2018,3,17.8794,58
DENT,2018,4,1.2078,5
ENVI,2018,3,12.7404,32
MEDI,2018,1,49.5419,133
AGRI,2018,1,10.9842,37
ENER,2018,2,3.9166,11
PSYC,2018,2,1.2899,4
BUSI,2018,1,6.1433,9
SOCI,2018,4,5.602,19
PSYC,2018,3,0.4098,1
BIOC,2018,4,24.834,72
NURS,2018,4,2.384,10
AGRI,2018,2,10.9573,39
ECON,2018,3,0.8921,5
ENVI,2018,4,16.2905,40
BIOC,2018,2,29.38,65
PHYS,2018,2,74.9826,85
ENVI,2018,2,14.1523,38
CENG,2018,4,19.2218,42
NEUR,2018,4,7.4784,10
ENGI,2018,3,22.1763,82
CENG,2018,3,9.8245,29
BUSI,2018,4,3.6207,11
ENER,2018,4,11.1115,28
ENGI,2018,4,20.4712,64
ENVI,2018,1,11.8367,34
ECON,2018,4,3.4582,9
BIOC,2018,3,32.8972,74
PHYS,2018,1,42.9599,62
ENER,2018,1,6.7414,14
DENT,2018,3,1.5047,7
COMP,2018,2,3.9189,29
COMP,2018,3,7.4008,54
HEAL,2018,1,0.5819,3
NEUR,2018,2,18.0838,21
BUSI,2018,2,2.9227,12
PSYC,2018,4,0.4475,2
CHEM,2018,2,22.0399,55
PHAR,2018,3,11.9592,20
SOCI,2018,3,8.5012,30
ARTS,2018,1,1.4097,7
ENER,2018,3,6.6051,17
MEDI,2018,3,43.9768,135
VETE,2018,1,6.1995,18
DENT,2018,2,4.4319,13
CENG,2018,1,16.005,45
PSYC,2018,1,4.7319,7
IMMU,2018,1,12.4728,29
AGRI,2018,3,16.3176,48
CHEM,2018,1,31.1761,65
EART,2018,4,11.5084,19
NURS,2018,1,3.224,10
IMMU,2018,2,12.0548,33
MEDI,2018,4,40.805,125
MEDI,2018,2,44.747,137
EART,2018,2,13.1629,19
SOCI,2018,1,8.7446,29
CHEM,2018,4,20.2741,50
NURS,2018,3,0.683,3
MATH,2018,3,2.3766,20
HEAL,2018,2,2.5388,8
CENG,2018,2,11.2971,33
HEAL,2018,4,0.847,3
NEUR,2018,3,7.0296,14
NURS,2018,2,2.2526,5
MATH,2018,4,3.1583,11
EART,2018,1,6.6713,16
BUSI,2018,3,1.2938,5
ARTS,2018,2,0.2412,2
ECON,2018,2,0.3994,2
MULT,2018,1,1.0226,4
ARTS,2018,4,0.4459,1
MULT,2018,2,2.6625,10
VETE,2018,3,1.7625,6
DECI,2018,1,0.4935,2
VETE,2018,2,2.3513,8
