Class,Total Score,Paper Count,Year.Quarter
HEAL,1.2242,14,2021.4
NEUR,2.0485,14,2021.4
MATE,14.8759,74,2021.3
SOCI,3.3723,33,2021.2
HEAL,1.918,14,2021.2
ENGI,19.4448,96,2021.3
MULT,21.5547,143,2021.4
DECI,0.128,6,2021.2
DENT,1.0491,8,2021.2
SOCI,7.9437,61,2021.4
PHYS,31.046,89,2021.2
NURS,1.14,12,2021.4
PSYC,0.7457,4,2021.4
ARTS,0.6118,11,2021.3
ENER,10.9255,53,2021.3
CHEM,21.5382,85,2021.2
SOCI,7.1374,53,2021.1
DECI,0.6392,3,2021.4
NEUR,3.4973,18,2021.2
BUSI,1.4272,9,2021.3
MATE,12.3561,79,2021.4
BUSI,1.4856,15,2021.4
MATH,2.4992,15,2021.3
MATH,3.4855,27,2021.2
IMMU,6.9236,51,2021.3
VETE,0.4126,6,2021.1
IMMU,2.8494,22,2021.1
EART,5.3213,32,2021.1
ENVI,12.6935,55,2021.3
MULT,1.8415,19,2021.2
MATH,2.5717,16,2021.1
ENER,8.5706,41,2021.1
PHYS,32.9586,85,2021.4
PHAR,5.1634,32,2021.2
BUSI,1.1733,11,2021.1
EART,4.0391,24,2021.3
AGRI,7.7657,52,2021.2
AGRI,11.2723,76,2021.4
ARTS,0.3446,9,2021.4
MULT,5.4937,23,2021.1
DENT,1.1527,12,2021.1
NEUR,4.2495,21,2021.3
CENG,15.4819,68,2021.2
COMP,4.5386,41,2021.4
MEDI,24.0916,206,2021.3
NURS,1.7702,10,2021.3
ENVI,16.0373,66,2021.1
IMMU,10.3475,56,2021.4
DECI,0.1413,1,2021.1
PHYS,35.1535,64,2021.3
PHAR,8.2122,47,2021.3
HEAL,0.43,5,2021.1
BIOC,26.4157,115,2021.4
ENGI,17.4799,88,2021.4
BUSI,1.0977,9,2021.2
MULT,3.0409,36,2021.3
CENG,9.7394,68,2021.3
ENVI,17.3395,95,2021.4
AGRI,10.7815,65,2021.1
NURS,0.3909,5,2021.1
HEAL,0.6181,9,2021.3
ENGI,19.2948,83,2021.1
BIOC,14.5296,101,2021.3
COMP,3.6013,43,2021.1
ENER,13.9042,41,2021.2
MATE,13.7807,72,2021.1
MEDI,39.6801,201,2021.1
PHYS,34.6611,105,2021.1
PSYC,1.1765,5,2021.2
COMP,4.7477,69,2021.2
BIOC,9.9691,78,2021.2
CHEM,21.2069,110,2021.1
VETE,2.3215,30,2021.3
ECON,2.4359,15,2021.1
CENG,11.6221,69,2021.1
ECON,0.8404,11,2021.2
EART,4.8615,33,2021.4
DENT,1.7251,23,2021.3
PHAR,6.8974,44,2021.4
PSYC,2.754,10,2021.1
BIOC,21.9412,97,2021.1
VETE,1.9034,30,2021.4
NEUR,8.6539,24,2021.1
ENVI,14.8298,71,2021.2
DENT,2.1395,15,2021.4
IMMU,6.9147,43,2021.2
MATH,1.262,16,2021.4
ENER,11.1683,54,2021.4
MEDI,40.3682,292,2021.4
ARTS,1.022,12,2021.1
ENVI,3.3138,23,2023.4
PHAR,1.2782,8,2023.4
ECON,0.3516,3,2023.4
AGRI,9.3119,56,2023.2
PSYC,3.2161,9,2023.2
MEDI,18.0483,126,2023.3
BUSI,1.9973,11,2023.2
PHYS,18.05,53,2023.1
PHAR,8.4933,43,2023.1
ARTS,1.2848,9,2023.3
IMMU,7.5519,49,2023.2
MEDI,5.7378,53,2023.4
HEAL,0.4911,8,2023.2
EART,0.2349,2,2023.4
AGRI,8.4567,56,2023.3
HEAL,0.4958,7,2023.4
PHAR,3.0981,24,2023.3
ENER,12.9535,45,2023.1
ECON,2.4338,17,2023.1
BUSI,0.61,5,2023.4
BUSI,2.0125,12,2023.3
MEDI,28.1019,169,2023.2
IMMU,0.7464,4,2023.4
ENGI,24.0899,102,2023.1
NURS,1.7936,16,2023.2
BIOC,4.3335,22,2023.4
CENG,8.83,47,2023.3
CHEM,9.2232,57,2023.3
NEUR,3.613,14,2023.2
CHEM,38.868,120,2023.1
EART,4.3009,20,2023.2
MATH,4.0222,23,2023.1
MULT,4.1751,24,2023.1
SOCI,10.5154,54,2023.1
ECON,1.3196,8,2023.2
ENGI,18.1452,77,2023.3
DECI,0.4444,2,2023.2
NURS,0.2631,3,2023.4
DENT,1.3185,11,2023.3
MATH,1.2479,11,2023.3
ENER,9.3299,35,2023.2
COMP,3.4263,25,2023.3
MEDI,47.518,218,2023.1
MATE,10.3171,60,2023.3
VETE,1.9826,15,2023.2
DECI,0.1506,1,2023.3
ARTS,0.6495,8,2023.2
PHYS,26.404,48,2023.3
AGRI,19.0883,89,2023.1
DECI,0.6443,3,2023.1
MULT,3.6765,37,2023.2
BIOC,14.2768,86,2023.2
PSYC,0.6498,3,2023.3
MATH,0.3318,3,2023.4
PSYC,0.1163,2,2023.4
DENT,4.8201,22,2023.2
IMMU,18.8578,55,2023.1
ENGI,3.5368,22,2023.4
EART,2.4348,15,2023.1
IMMU,3.7949,27,2023.3
HEAL,1.5278,11,2023.3
COMP,5.6689,30,2023.2
VETE,1.8716,18,2023.1
NEUR,0.3391,2,2023.4
AGRI,3.4089,23,2023.4
MATH,2.7407,13,2023.2
ENGI,11.7819,63,2023.2
ARTS,0.6521,8,2023.1
NURS,0.7735,7,2023.3
DENT,3.61,21,2023.1
SOCI,5.4761,32,2023.3
MATE,22.2327,72,2023.1
BIOC,27.2112,113,2023.1
ECON,1.4283,10,2023.3
ENVI,11.712,58,2023.2
NURS,3.091,18,2023.1
ENER,1.8863,13,2023.4
PHYS,2.4011,15,2023.4
NEUR,2.5853,15,2023.3
SOCI,1.1071,8,2023.4
CENG,10.3109,58,2023.2
HEAL,1.3928,8,2023.1
MATE,9.3513,54,2023.2
DENT,2.109,20,2023.4
MATE,3.7524,21,2023.4
CENG,3.5386,20,2023.4
PSYC,1.9569,11,2023.1
MULT,13.5071,87,2023.4
VETE,0.4045,4,2023.4
DECI,0.3484,3,2023.4
COMP,10.2993,57,2023.1
MULT,4.1791,22,2023.3
PHAR,4.6047,32,2023.2
CENG,26.3286,85,2023.1
PHYS,13.2464,46,2023.2
NEUR,5.1317,15,2023.1
ENER,4.2027,28,2023.3
CHEM,14.0531,83,2023.2
VETE,0.9041,10,2023.3
BUSI,5.6257,16,2023.1
EART,2.7542,16,2023.3
ENVI,26.0373,80,2023.1
CHEM,4.0178,31,2023.4
ENVI,12.1659,61,2023.3
COMP,1.211,8,2023.4
BIOC,10.0627,63,2023.3
SOCI,4.8865,32,2023.2
BUSI,4.3313,17,2022.2
BUSI,3.9284,16,2022.4
MATH,4.3977,17,2022.2
COMP,10.5223,43,2022.2
EART,8.9906,23,2022.1
ECON,3.3603,14,2022.4
PSYC,4.3177,13,2022.1
PHYS,46.9506,78,2022.2
EART,5.0058,20,2022.4
PSYC,2.5913,8,2022.2
DENT,2.4832,16,2022.3
PHAR,13.8496,50,2022.2
DENT,2.8371,13,2022.1
COMP,11.558,35,2022.1
DECI,0.1027,1,2022.2
ENER,27.0945,50,2022.1
ENVI,20.7589,74,2022.2
COMP,13.0639,62,2022.4
EART,5.1816,19,2022.2
PHYS,31.1773,78,2022.4
ARTS,2.362,10,2022.4
PHYS,29.7063,57,2022.3
ENER,16.7337,47,2022.2
DECI,1.1138,4,2022.3
VETE,6.6535,32,2022.1
PSYC,2.3355,11,2022.3
IMMU,13.2935,56,2022.3
BIOC,38.3653,106,2022.1
DENT,3.3781,21,2022.2
CENG,30.2041,76,2022.1
VETE,6.662,38,2022.4
IMMU,12.6194,51,2022.2
DECI,1.461,7,2022.4
AGRI,23.6354,96,2022.4
ENER,16.0174,55,2022.4
NURS,3.7016,15,2022.1
MATH,5.9937,23,2022.3
MATE,19.8536,60,2022.2
HEAL,3.5165,16,2022.4
MULT,8.5627,35,2022.1
ARTS,0.871,7,2022.2
PHYS,38.9249,78,2022.1
IMMU,16.9617,65,2022.4
MULT,6.3407,29,2022.2
ECON,3.4774,11,2022.1
HEAL,1.2825,8,2022.3
BUSI,6.9979,20,2022.1
CENG,24.8516,84,2022.3
PHAR,9.8946,41,2022.3
NEUR,2.5964,12,2022.4
MATE,15.7934,54,2022.3
SOCI,15.9445,74,2022.4
CENG,23.0238,65,2022.2
IMMU,12.6946,57,2022.1
NEUR,9.1667,22,2022.2
NEUR,6.8311,21,2022.3
SOCI,10.0874,45,2022.2
ENGI,33.8606,120,2022.4
NEUR,7.6097,24,2022.1
AGRI,17.7787,80,2022.3
CHEM,31.4377,89,2022.1
BUSI,4.3495,11,2022.3
CHEM,27.6548,110,2022.4
CHEM,31.3725,118,2022.3
ENVI,38.7107,81,2022.1
DENT,4.2503,21,2022.4
BIOC,28.7012,99,2022.2
MEDI,47.9313,237,2022.3
ENGI,24.9436,75,2022.2
CHEM,31.3655,92,2022.2
HEAL,1.4355,10,2022.1
ENGI,35.4925,95,2022.1
PSYC,1.9704,9,2022.4
CENG,20.7359,74,2022.4
NURS,4.3074,25,2022.3
NURS,1.6298,9,2022.2
EART,7.8312,29,2022.3
AGRI,29.5053,97,2022.1
MATH,4.9277,15,2022.1
BIOC,27.5947,104,2022.3
DECI,1.123,4,2022.1
PHAR,12.6433,42,2022.1
ENVI,23.3228,75,2022.4
NURS,2.4686,14,2022.4
ARTS,1.1543,7,2022.3
ENVI,31.0764,96,2022.3
ARTS,2.2239,17,2022.1
MATE,21.8442,81,2022.4
ECON,2.0854,10,2022.3
MEDI,63.9762,311,2022.4
MATH,5.4391,24,2022.4
HEAL,1.5972,12,2022.2
ENGI,25.9465,90,2022.3
MULT,39.1528,158,2022.4
MATE,30.7599,88,2022.1
MEDI,66.7686,256,2022.1
PHAR,13.2429,56,2022.4
COMP,15.317,58,2022.3
ENER,21.4655,60,2022.3
VETE,3.7269,23,2022.2
SOCI,13.2775,54,2022.1
MEDI,45.0883,224,2022.2
MULT,9.65,29,2022.3
ECON,2.5188,15,2022.2
AGRI,19.4891,75,2022.2
BIOC,27.4779,119,2022.4
SOCI,13.008,51,2022.3
VETE,7.8081,38,2022.3
BUSI,0.9646,7,2019.3
NEUR,5.0895,20,2019.3
ARTS,0.2732,5,2019.1
ECON,0.4855,4,2019.3
IMMU,4.4476,31,2019.3
MEDI,24.2003,177,2019.4
PSYC,1.0778,3,2019.3
AGRI,7.2548,51,2019.4
ENER,6.6465,37,2019.4
VETE,0.8391,7,2019.2
COMP,4.4792,61,2019.1
PHYS,17.7534,71,2019.3
MATE,5.3469,45,2019.3
PSYC,0.4199,4,2019.4
IMMU,2.8486,22,2019.2
COMP,2.2629,40,2019.2
HEAL,0.5519,5,2019.2
NURS,0.4077,2,2019.2
PHYS,30.9749,85,2019.2
ECON,4.242,10,2019.1
VETE,0.7577,6,2019.4
EART,3.3514,21,2019.1
NURS,1.1253,8,2019.3
CHEM,8.4676,63,2019.2
ARTS,0.5767,6,2019.2
BIOC,12.7881,91,2019.4
ENER,5.4685,30,2019.3
HEAL,0.9458,8,2019.3
ECON,1.2422,12,2019.4
ARTS,0.7182,5,2019.4
SOCI,1.7824,14,2019.3
MATE,7.9937,57,2019.4
COMP,9.2125,93,2019.4
NURS,1.3114,9,2019.4
PSYC,0.1045,1,2019.2
MULT,1.5408,13,2019.2
ECON,0.7632,7,2019.2
CENG,4.7616,35,2019.2
MEDI,21.8126,165,2019.1
HEAL,0.5106,6,2019.4
CENG,8.1154,47,2019.4
IMMU,4.6985,38,2019.4
ENVI,8.4531,51,2019.1
CHEM,9.5033,54,2019.3
MATH,1.1107,8,2019.2
CENG,5.6778,33,2019.3
DECI,1.7744,7,2019.1
PHAR,3.9319,23,2019.4
EART,4.1624,26,2019.3
ENER,5.9189,34,2019.1
MULT,2.0884,13,2019.1
DENT,1.1227,9,2019.1
DENT,1.2778,9,2019.2
ENVI,9.5899,59,2019.4
MULT,1.382,10,2019.3
BIOC,10.4801,67,2019.3
SOCI,4.8391,36,2019.4
NEUR,2.5134,15,2019.4
BUSI,0.8896,9,2019.4
MATH,1.9639,16,2019.3
PHAR,4.2756,27,2019.3
MULT,7.8699,43,2019.4
ENGI,10.3205,84,2019.3
AGRI,7.5469,35,2019.1
NEUR,3.4714,15,2019.2
DECI,0.2175,7,2019.2
MATE,9.2637,54,2019.1
ENGI,10.9204,70,2019.2
CENG,8.7679,56,2019.1
CHEM,11.6732,72,2019.4
PSYC,0.4346,4,2019.1
PHAR,4.6801,31,2019.2
BIOC,10.3035,67,2019.1
SOCI,6.8211,38,2019.1
AGRI,4.8535,37,2019.2
ENGI,13.9625,103,2019.4
DENT,0.9746,7,2019.4
ENVI,3.8038,33,2019.2
BUSI,1.2307,9,2019.2
CHEM,17.4654,73,2019.1
NURS,1.9198,6,2019.1
BIOC,9.5664,64,2019.2
HEAL,0.9064,10,2019.1
SOCI,4.4672,24,2019.2
MATH,5.168,30,2019.4
DECI,0.8947,18,2019.4
MEDI,22.2066,138,2019.3
DENT,0.7094,8,2019.3
EART,3.5669,19,2019.4
MEDI,18.2327,140,2019.2
EART,2.1706,17,2019.2
DECI,2.2248,28,2019.3
COMP,4.8033,59,2019.3
MATH,2.3673,38,2019.1
ENGI,16.1029,101,2019.1
VETE,1.5294,12,2019.3
ARTS,0.2232,4,2019.3
MATE,6.4466,48,2019.2
PHAR,3.9312,24,2019.1
AGRI,4.6837,33,2019.3
BUSI,5.5014,19,2019.1
IMMU,4.7197,32,2019.1
PHYS,26.9418,88,2019.4
NEUR,3.4883,14,2019.1
ENER,4.0771,28,2019.2
ENVI,4.7167,32,2019.3
PHYS,35.1318,109,2019.1
VETE,0.9921,8,2019.1
DENT,7.3477,20,2018.1
PHAR,8.7584,26,2018.2
PHYS,52.2989,94,2018.4
DECI,1.2649,8,2018.2
HEAL,2.6789,6,2018.3
MULT,15.7874,43,2018.4
EART,9.332,22,2018.3
SOCI,6.2568,23,2018.2
ENGI,22.2553,77,2018.1
BIOC,22.0499,60,2018.1
MATE,20.9114,58,2018.1
PHAR,23.0823,36,2018.1
ARTS,2.0764,5,2018.3
PHAR,5.6128,19,2018.4
NEUR,15.4027,25,2018.1
MATE,17.2716,49,2018.2
MATH,1.2075,11,2018.1
VETE,2.8703,11,2018.4
MATE,13.3819,45,2018.3
ENGI,25.6939,71,2018.2
MATH,10.9245,14,2018.2
MULT,4.8057,16,2018.3
ECON,1.4117,4,2018.1
MATE,16.9185,45,2018.4
DECI,0.8167,7,2018.3
DECI,0.7297,5,2018.4
COMP,4.985,32,2018.1
IMMU,7.8114,27,2018.4
PHYS,52.0896,77,2018.3
IMMU,13.1976,36,2018.3
COMP,7.3899,32,2018.4
AGRI,16.9695,53,2018.4
CHEM,17.8794,58,2018.3
DENT,1.2078,5,2018.4
ENVI,12.7404,32,2018.3
MEDI,49.5419,133,2018.1
AGRI,10.9842,37,2018.1
ENER,3.9166,11,2018.2
PSYC,1.2899,4,2018.2
BUSI,6.1433,9,2018.1
SOCI,5.602,19,2018.4
PSYC,0.4098,1,2018.3
BIOC,24.834,72,2018.4
NURS,2.384,10,2018.4
AGRI,10.9573,39,2018.2
ECON,0.8921,5,2018.3
ENVI,16.2905,40,2018.4
BIOC,29.38,65,2018.2
PHYS,74.9826,85,2018.2
ENVI,14.1523,38,2018.2
CENG,19.2218,42,2018.4
NEUR,7.4784,10,2018.4
ENGI,22.1763,82,2018.3
CENG,9.8245,29,2018.3
BUSI,3.6207,11,2018.4
ENER,11.1115,28,2018.4
ENGI,20.4712,64,2018.4
ENVI,11.8367,34,2018.1
ECON,3.4582,9,2018.4
BIOC,32.8972,74,2018.3
PHYS,42.9599,62,2018.1
ENER,6.7414,14,2018.1
DENT,1.5047,7,2018.3
COMP,3.9189,29,2018.2
COMP,7.4008,54,2018.3
HEAL,0.5819,3,2018.1
NEUR,18.0838,21,2018.2
BUSI,2.9227,12,2018.2
PSYC,0.4475,2,2018.4
CHEM,22.0399,55,2018.2
PHAR,11.9592,20,2018.3
SOCI,8.5012,30,2018.3
ARTS,1.4097,7,2018.1
ENER,6.6051,17,2018.3
MEDI,43.9768,135,2018.3
VETE,6.1995,18,2018.1
DENT,4.4319,13,2018.2
CENG,16.005,45,2018.1
PSYC,4.7319,7,2018.1
IMMU,12.4728,29,2018.1
AGRI,16.3176,48,2018.3
CHEM,31.1761,65,2018.1
EART,11.5084,19,2018.4
NURS,3.224,10,2018.1
IMMU,12.0548,33,2018.2
MEDI,40.805,125,2018.4
MEDI,44.747,137,2018.2
EART,13.1629,19,2018.2
SOCI,8.7446,29,2018.1
CHEM,20.2741,50,2018.4
NURS,0.683,3,2018.3
MATH,2.3766,20,2018.3
HEAL,2.5388,8,2018.2
CENG,11.2971,33,2018.2
HEAL,0.847,3,2018.4
NEUR,7.0296,14,2018.3
NURS,2.2526,5,2018.2
MATH,3.1583,11,2018.4
EART,6.6713,16,2018.1
BUSI,1.2938,5,2018.3
ARTS,0.2412,2,2018.2
ECON,0.3994,2,2018.2
MULT,1.0226,4,2018.1
ARTS,0.4459,1,2018.4
MULT,2.6625,10,2018.2
VETE,1.7625,6,2018.3
DECI,0.4935,2,2018.1
VETE,2.3513,8,2018.2
